# Id_interactions,B0,B1,label
16923,49,0,1
16987,90,0,1
16999,174,0,1
17002,484,0,1
17049,42,0,1
17050,23,0,1
17091,371,0,1
17092,174,0,1
17099,48,0,1
17100,235,0,1
17180,292,13,1
17313,472,0,1
17386,484,0,1
17387,484,0,1
17388,484,0,1
17429,484,0,1
17430,185,0,1
17498,484,0,1
17591,79,0,1
17836,484,0,1
18182,484,0,1
18183,484,0,1
19101,60,0,1
19102,60,0,1
19296,28,0,1
19297,60,0,1
19298,283,13,1
19299,98,0,1
19300,30,0,1
19301,559,0,1
19302,37,0,1
19303,168,0,1
20663,484,0,1
21286,209,0,1
21575,446,0,1
21576,168,0,1
21578,520,0,1
21579,484,0,1
21740,630,0,1
21795,283,13,1
21816,180,0,1
21817,18,0,1
21818,168,0,1
21819,6,0,1
21900,168,0,1
21901,60,0,1
21902,45,0,1
21923,502,0,1
21924,465,0,1
21945,168,0,1
21946,38,0,1
21957,484,0,1
21958,104,0,1
21959,219,0,1
21960,354,0,1
21991,354,0,1
21992,236,0,1
21993,48,0,1
21994,48,0,1
21995,30,0,1
21996,104,0,1
21997,354,0,1
21998,483,0,1
21999,64,0,1
22000,174,0,1
22032,354,0,1
22033,231,0,1
22034,168,0,1
22035,168,0,1
22036,22,0,1
22037,174,0,1
22038,43,0,1
22039,168,0,1
22040,472,0,1
22061,91,0,1
22062,51,0,1
22063,354,0,1
22064,174,0,1
22065,601,0,1
22066,377,0,1
22074,168,0,1
22075,502,0,1
22253,37,0,1
22254,446,0,1
22255,8,0,1
22256,484,0,1
22356,60,0,1
22607,203,0,1
23207,215,0,1
23208,377,0,1
23209,376,1,1
23210,231,0,1
23211,71,0,1
23329,64,0,1
23341,354,0,1
23342,354,0,1
23343,358,0,1
23364,16,0,1
23365,88,0,1
23407,377,0,1
23408,484,0,1
23409,377,0,1
23410,530,13,1
23411,377,0,1
23412,377,0,1
23413,53,0,1
23414,110,0,1
23553,55,0,1
23804,358,0,1
26103,221,0,1
26157,243,0,1
26827,49,0,1
26828,82,0,1
26829,446,0,1
26830,65,0,1
26831,606,0,1
26832,606,0,1
26833,37,0,1
26834,168,0,1
26835,556,0,1
26970,22,0,1
27068,502,0,1
30051,209,0,1
12248,15,0,1
12281,10,0,1
13168,191,0,1
13258,94,0,1
13342,94,0,1
11955,180,0,1
11976,180,0,1
11977,180,0,1
11978,180,0,1
11979,180,0,1
12315,61,0,1
12316,13,0,1
12317,66,0,1
12318,13,0,1
12319,309,0,1
13164,11,0,1
13169,8,0,1
13191,4,0,1
13192,222,0,1
13213,26,0,1
13214,56,0,1
13235,21,0,1
13256,12,0,1
13257,302,0,1
13259,213,0,1
13301,20,0,1
13439,8,0,1
13462,61,0,1
13506,23,0,1
13527,199,0,1
13713,186,0,1
13714,3,0,1
13810,8,0,1
13853,21,0,1
14018,226,0,1
14019,245,0,1
14231,34,0,1
14484,76,0,1
14539,195,0,1
14540,76,0,1
14541,28,0,1
14542,290,0,1
14543,155,0,1
14559,212,0,1
14587,195,0,1
