# Id_interactions,B0,B1,B2,B3,B4,B5,B6,label
13168,174035,1,0,1,0,0,0,1
13258,215890,4,0,0,0,0,0,1
13342,220296,4,0,0,0,0,0,1
11955,280371,4,1,0,0,0,0,1
11976,272043,4,1,0,0,0,0,1
11977,274819,4,1,0,0,0,0,1
11978,272043,4,1,0,0,0,0,1
11979,274819,4,1,0,0,0,0,1
12315,238735,1,0,0,0,0,0,1
12316,222079,1,0,0,0,0,0,1
12317,238735,1,0,0,0,0,0,1
12318,219303,1,0,0,0,0,0,1
12319,269261,9,2,0,0,0,0,1
13164,216527,1,0,0,0,0,0,1
13169,208199,1,0,0,0,0,0,1
13191,247063,1,0,0,0,0,0,1
13192,549647,1,0,0,0,0,0,1
13213,197095,1,0,0,0,0,0,1
13214,205423,1,0,0,0,0,0,1
13235,230407,1,0,0,0,0,0,1
13256,222078,2,0,0,0,0,0,1
13257,185986,4,2,0,0,0,0,1
13259,299802,6,0,0,0,0,0,1
13301,194319,1,0,0,0,0,0,1
13439,205422,2,0,0,0,0,0,1
13462,222079,1,0,0,0,0,0,1
13506,241511,1,0,0,0,0,0,1
13527,283147,5,0,0,0,0,0,1
13713,466367,1,0,0,0,0,0,1
13714,219303,1,0,0,0,0,0,1
13810,233183,1,0,0,0,0,0,1
13853,258167,1,0,0,0,0,0,1
14018,494124,2,2,0,0,0,0,1
14019,163781,3,0,0,0,0,0,1
14231,166559,1,0,0,0,0,0,1
14484,194319,1,0,0,0,0,0,1
14539,263715,5,0,0,0,0,0,1
14540,238735,1,0,0,0,0,0,1
14541,272047,1,0,0,0,0,0,1
14542,188762,4,2,0,0,0,0,1
14543,505231,1,0,0,0,0,0,1
14559,291474,6,0,0,0,0,0,1
14587,274819,5,0,0,0,0,0,1
14589,252610,6,0,0,0,0,0,1
14590,496903,1,0,0,0,0,0,1
14593,185990,2,0,0,0,0,0,1
14594,219303,1,0,0,0,0,0,1
14636,452484,2,2,0,0,0,0,1
14637,316459,5,0,0,0,0,0,1
14638,247063,1,0,0,0,0,0,1
14639,219303,1,0,0,0,0,0,1
14703,496900,2,2,0,0,0,0,1
