# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
13162,423332,0,41,1,0,14,0,5,0,0,2,0,0,0,1,1
15431,512368,81,57,0,6,0,1,14,0,2,1,0,0,0,2,1
15432,395506,4,0,25,3,0,0,2,0,0,0,0,0,0,1,1
15433,501338,3,0,33,1,0,0,4,0,0,0,5,0,0,6,1
15434,306392,2,0,9,1,0,0,0,0,0,0,0,0,0,1,1
15435,495652,92,0,0,0,65,0,0,0,0,7,0,0,0,3,1
15495,963749,16,0,12,0,0,2,0,0,1,0,0,2,0,1,1
16183,2089058,41,11,10,2,0,2,0,0,0,0,0,0,0,1,1
18863,506909,3,0,33,1,0,0,4,0,0,0,5,0,0,6,1
22142,1715676,154,3,13,0,8,0,6,0,6,0,0,0,1,1,1
22683,295243,8,0,9,1,0,0,1,0,0,0,0,0,0,1,1
27416,300814,8,0,9,1,0,0,1,0,0,0,0,0,0,1,1
30100,428805,3,0,114,17,0,0,22,0,0,0,5,0,0,1,1
13165,239810,10,1,27,1,1,0,2,0,0,0,0,0,0,2,1
13391,1076884,55,1,129,0,0,28,0,0,14,0,0,0,0,5,1
26901,208917,1,0,0,0,40,0,0,0,0,3,0,0,0,1,1
26902,244443,21,4,0,0,55,0,0,0,0,6,0,0,0,1,1
26903,257822,1,0,0,0,40,0,0,0,0,4,0,0,0,1,1
26904,231074,8,0,89,1,0,0,18,0,0,0,1,0,0,1,1
17593,1043310,19,0,16,0,0,2,0,0,1,0,0,3,0,1,1
15291,1090100,2,68,0,0,25,0,8,0,0,3,0,2,0,2,1
13811,228318,1,0,65,0,0,3,0,0,1,0,0,0,0,1,1
13852,395827,9,0,0,0,0,0,0,0,0,0,0,0,13,1,1
13997,160949,10,31,1,0,3,0,9,0,0,2,0,0,0,2,1
14461,189326,0,0,0,0,82,0,0,0,0,11,0,0,0,1,1
14272,143384,3,0,0,0,0,0,8,3,1,0,0,0,0,1,1
14369,126630,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1
14517,148685,7,3,0,0,0,0,57,0,0,0,0,0,0,12,1
14518,150972,1,0,0,0,41,0,0,0,0,2,0,0,0,2,1
14558,417465,11,2,23,1,0,9,0,0,5,0,0,3,0,1,1
14635,287010,0,1,0,0,0,0,30,0,0,0,0,0,0,4,1
14640,297448,0,1,0,0,0,0,30,0,0,0,0,0,0,4,1
21139,260915,0,1,0,0,0,0,30,0,0,0,0,0,0,4,1
26694,266134,0,1,0,0,0,0,30,0,0,0,0,0,0,4,1
26695,266134,0,1,0,0,0,0,30,0,0,0,0,0,0,4,1
29978,276572,0,1,0,0,0,0,30,0,0,0,0,0,0,4,1
14591,214910,1,2,0,0,37,0,0,0,0,4,0,0,0,2,1
14592,303148,16,2,0,0,79,0,0,0,0,16,0,0,0,3,1
14641,149228,1,0,0,0,43,0,0,0,0,2,0,0,0,2,1
14642,146960,7,3,0,0,0,0,66,0,0,0,0,0,0,12,1
15916,140259,7,3,0,0,0,0,86,0,0,0,0,0,0,9,1
