# Id_interactions,B0,B1,B2,B3,label
16361,1163750,0,0,0,1
16362,460845,0,0,0,1
16363,488775,0,0,0,1
16405,400329,1,0,0,1
16426,493430,0,0,0,1
16427,367745,0,0,0,1
16428,456190,0,0,0,1
16470,451534,1,0,0,1
16497,311885,0,0,0,1
16498,423604,1,0,0,1
16531,442225,0,0,0,1
16532,484120,0,0,0,1
16533,651699,1,0,0,1
16716,595840,0,0,0,1
16717,1140475,0,0,0,1
16718,423604,1,0,0,1
16800,302575,0,0,0,1
16872,465500,0,0,0,1
16873,470155,0,0,0,1
16874,605150,0,0,0,1
16875,498085,0,0,0,1
16881,418949,1,0,0,1
16923,493430,0,0,0,1
16987,488775,0,0,0,1
16999,432914,1,0,0,1
17002,474810,0,0,0,1
17049,488775,0,0,0,1
17050,311885,0,0,0,1
17091,647044,1,0,0,1
17092,414294,1,0,0,1
17099,330505,0,0,0,1
17100,605150,0,0,0,1
17180,437540,17,13,0,1
17313,446880,0,0,0,1
17386,465500,0,0,0,1
17387,460845,0,0,0,1
17388,465500,0,0,0,1
17429,474810,0,0,0,1
17430,400329,1,0,0,1
17498,470155,0,0,0,1
17591,516705,0,0,0,1
17836,456190,0,0,0,1
18182,470155,0,0,0,1
18183,470155,0,0,0,1
19101,442225,0,0,0,1
19102,437570,0,0,0,1
19296,474810,0,0,0,1
19297,470155,0,0,0,1
19298,437540,17,13,0,1
19299,474810,0,0,0,1
19300,512050,0,0,0,1
19301,833245,0,0,0,1
19302,414295,0,0,0,1
19303,400329,1,0,0,1
20663,456190,0,0,0,1
21286,1117200,0,0,0,1
21575,432910,5,0,0,1
21576,404984,1,0,0,1
21578,446880,0,0,0,1
21579,470155,0,0,0,1
21740,484010,110,0,0,1
21795,428230,17,13,0,1
21816,446879,1,0,0,1
21817,516705,0,0,0,1
21818,437569,1,0,0,1
21819,279300,0,0,0,1
21900,474809,1,0,0,1
21901,442225,0,0,0,1
21902,484120,0,0,0,1
21923,484120,0,0,0,1
21924,442225,0,0,0,1
21945,456189,1,0,0,1
21946,493430,0,0,0,1
21957,474810,0,0,0,1
21958,400329,1,0,0,1
21959,1005480,0,0,0,1
21960,1107887,3,0,0,1
21991,1070647,3,0,0,1
21992,512050,0,0,0,1
21993,321195,0,0,0,1
21994,316540,0,0,0,1
21995,493430,0,0,0,1
21996,437569,1,0,0,1
21997,1089267,3,0,0,1
21998,451535,0,0,0,1
21999,479465,0,0,0,1
22000,428259,1,0,0,1
22032,1056682,3,0,0,1
22033,595839,1,0,0,1
22034,437569,1,0,0,1
22035,437569,1,0,0,1
22036,283955,0,0,0,1
22037,395674,1,0,0,1
22038,437570,0,0,0,1
22039,442224,1,0,0,1
22040,451535,0,0,0,1
22061,488775,0,0,0,1
22062,498085,0,0,0,1
22063,1112542,3,0,0,1
22064,418949,1,0,0,1
22065,1121855,0,0,0,1
22066,651699,1,0,0,1
22074,446879,1,0,0,1
22075,474810,0,0,0,1
22253,470155,0,0,0,1
22254,428255,5,0,0,1
22255,325850,0,0,0,1
22256,451535,0,0,0,1
22356,488775,0,0,0,1
22607,479464,1,0,0,1
23207,1075305,0,0,0,1
23208,651699,1,0,0,1
23209,670319,0,1,0,1
23210,595839,1,0,0,1
23211,498085,0,0,0,1
23329,493430,0,0,0,1
23341,1079957,3,0,0,1
23342,1103232,3,0,0,1
23343,1121852,3,0,0,1
23364,386365,0,0,0,1
23365,451535,0,0,0,1
23407,674974,1,0,0,1
23408,451535,0,0,0,1
23409,656354,1,0,0,1
23410,390989,18,13,0,1
23411,684284,1,0,0,1
23412,679629,1,0,0,1
23413,460845,0,0,0,1
23414,428259,1,0,0,1
23553,307230,0,0,0,1
23804,1014787,3,0,0,1
26103,437569,1,0,0,1
26157,600495,0,0,0,1
26827,502740,0,0,0,1
26828,470155,0,0,0,1
26829,442220,5,0,0,1
26830,474810,0,0,0,1
26831,390910,110,0,0,1
26832,409530,110,0,0,1
26833,344470,0,0,0,1
26834,400329,1,0,0,1
26835,1065991,4,0,0,1
26970,283955,0,0,0,1
27068,479465,0,0,0,1
30051,1107890,0,0,0,1
12248,209285,0,0,0,1
12281,57278,0,0,0,1
13168,174036,1,0,0,1
13258,215894,0,0,0,1
13342,220300,0,0,0,1
11955,280375,1,0,0,1
11976,272047,1,0,0,1
11977,274823,1,0,0,1
11978,272047,1,0,0,1
11979,274823,1,0,0,1
12315,238736,0,0,0,1
12316,222080,0,0,0,1
12317,238736,0,0,0,1
12318,219304,0,0,0,1
12319,269266,6,0,0,1
13164,216528,0,0,0,1
13169,208200,0,0,0,1
13191,247064,0,0,0,1
13192,549648,0,0,0,1
13213,197096,0,0,0,1
13214,205424,0,0,0,1
13235,230408,0,0,0,1
13256,222080,0,0,0,1
13257,185990,2,0,0,1
13259,299808,0,0,0,1
13301,194320,0,0,0,1
13439,205424,0,0,0,1
13462,222080,0,0,0,1
13506,241512,0,0,0,1
13527,283152,0,0,0,1
13713,466368,0,0,0,1
13714,219304,0,0,0,1
