# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,label
16405,400322,4,3,1,0,0,0,0,0,0,1
16426,493421,7,2,0,0,0,0,0,0,0,1
16427,367741,4,0,0,0,0,0,0,0,0,1
16428,456182,3,5,0,0,0,0,0,0,0,1
16470,451527,4,3,1,0,0,0,0,0,0,1
16497,311885,0,0,0,0,0,0,0,0,0,1
16498,423597,4,3,1,0,0,0,0,0,0,1
16531,442216,7,2,0,0,0,0,0,0,0,1
16532,484112,3,5,0,0,0,0,0,0,0,1
16533,651697,2,0,0,1,0,0,0,0,0,1
16716,595836,3,1,0,0,0,0,0,0,0,1
16717,1140433,40,2,0,0,0,0,0,0,0,1
16718,423597,4,3,1,0,0,0,0,0,0,1
16800,302575,0,0,0,0,0,0,0,0,0,1
16872,465496,4,0,0,0,0,0,0,0,0,1
16873,470146,7,2,0,0,0,0,0,0,0,1
16874,605146,3,1,0,0,0,0,0,0,0,1
16875,498076,7,2,0,0,0,0,0,0,0,1
16881,418942,4,3,1,0,0,0,0,0,0,1
16923,493428,2,0,0,0,0,0,0,0,0,1
16987,488766,7,2,0,0,0,0,0,0,0,1
16999,432907,4,3,1,0,0,0,0,0,0,1
17002,474802,3,5,0,0,0,0,0,0,0,1
17049,488773,2,0,0,0,0,0,0,0,0,1
17050,311885,0,0,0,0,0,0,0,0,0,1
17091,647042,2,0,0,1,0,0,0,0,0,1
17092,414287,4,3,1,0,0,0,0,0,0,1
17099,330503,2,0,0,0,0,0,0,0,0,1
17100,605146,3,1,0,0,0,0,0,0,0,1
17180,437510,22,8,6,11,13,0,0,0,0,1
17313,446872,3,5,0,0,0,0,0,0,0,1
17386,465492,3,5,0,0,0,0,0,0,0,1
17387,460837,3,5,0,0,0,0,0,0,0,1
17388,465492,3,5,0,0,0,0,0,0,0,1
17429,474802,3,5,0,0,0,0,0,0,0,1
17430,400322,4,3,1,0,0,0,0,0,0,1
17498,470147,3,5,0,0,0,0,0,0,0,1
17591,516696,7,2,0,0,0,0,0,0,0,1
17836,456182,3,5,0,0,0,0,0,0,0,1
18182,470147,3,5,0,0,0,0,0,0,0,1
18183,470147,3,5,0,0,0,0,0,0,0,1
19101,442221,4,0,0,0,0,0,0,0,0,1
19102,437566,4,0,0,0,0,0,0,0,0,1
19296,474808,2,0,0,0,0,0,0,0,0,1
19297,470151,4,0,0,0,0,0,0,0,0,1
19298,437510,22,8,6,11,13,0,0,0,0,1
19299,474801,7,2,0,0,0,0,0,0,0,1
19300,512048,2,0,0,0,0,0,0,0,0,1
19301,833196,43,6,0,0,0,0,0,0,0,1
19302,414293,2,0,0,0,0,0,0,0,0,1
19303,400322,4,3,1,0,0,0,0,0,0,1
20663,456182,3,5,0,0,0,0,0,0,0,1
21286,1117183,15,2,0,0,0,0,0,0,0,1
21575,432894,11,8,0,2,0,0,0,0,0,1
21576,404977,4,3,1,0,0,0,0,0,0,1
21578,446870,5,5,0,0,0,0,0,0,0,1
21579,470147,3,5,0,0,0,0,0,0,0,1
21740,483984,22,4,108,2,0,0,0,0,0,1
21795,428200,22,8,6,11,13,0,0,0,0,1
21816,446872,4,3,1,0,0,0,0,0,0,1
