IDS,faa,fna,xls,contigs
6666666.80914,-1,-1,-1,-1
6666666.80913,-1,-1,-1,-1
6666666.80912,-1,-1,-1,-1
6666666.80911,-1,-1,-1,-1
6666666.80910,-1,-1,-1,-1
6666666.80909,-1,-1,-1,-1
6666666.80908,-1,-1,-1,-1
6666666.80890,-1,-1,-1,-1
6666666.80889,-1,-1,-1,-1
6666666.80888,-1,-1,-1,-1
6666666.80300,-1,-1,-1,-1
1280.1825,.contigs.fa,-1,-1,-1
1280.1824,.contigs.fa,-1,-1,-1
1280.1823,.contigs.fa,-1,-1,-1
1280.1821,.contigs.fa,-1,-1,-1
1280.1820,.contigs.fa,-1,-1,-1
1280.1819,.contigs.fa,-1,-1,-1
1280.1818,.contigs.fa,-1,-1,-1
1280.1817,.contigs.fa,-1,-1,-1
1280.1813,.contigs.fa,-1,-1,-1
1280.1812,.contigs.fa,-1,-1,-1
1280.1811,.contigs.fa,-1,-1,-1
1280.1809,.contigs.fa,-1,-1,-1
1280.1808,.contigs.fa,-1,-1,-1
1280.1804,.contigs.fa,-1,-1,-1
1280.1803,.contigs.fa,-1,-1,-1
1280.1789,.contigs.fa,-1,-1,-1
1280.1788,.contigs.fa,-1,-1,-1
1280.1787,.contigs.fa,-1,-1,-1
1280.1786,.contigs.fa,-1,-1,-1
1280.1785,.contigs.fa,-1,-1,-1
1280.1763,.contigs.fa,-1,-1,-1
1280.1702,.contigs.fa,-1,-1,-1
1280.1701,.contigs.fa,-1,-1,-1
1280.1700,.contigs.fa,-1,-1,-1
1280.1699,.contigs.fa,-1,-1,-1
1280.1698,.contigs.fa,-1,-1,-1
1280.1692,.contigs.fa,-1,-1,-1
1280.1691,.contigs.fa,-1,-1,-1
1280.1690,.contigs.fa,-1,-1,-1
1280.1689,.contigs.fa,-1,-1,-1
1280.1688,.contigs.fa,-1,-1,-1
1280.1687,.contigs.fa,-1,-1,-1
1280.1686,.contigs.fa,-1,-1,-1
1280.1685,.contigs.fa,-1,-1,-1
1280.1684,.contigs.fa,-1,-1,-1
1280.1683,.contigs.fa,-1,-1,-1
1280.1682,.contigs.fa,-1,-1,-1
1280.1681,.contigs.fa,-1,-1,-1
1280.1680,.contigs.fa,-1,-1,-1
1280.1679,.contigs.fa,-1,-1,-1
1280.1678,.contigs.fa,-1,-1,-1
1280.1677,.contigs.fa,-1,-1,-1
1280.1676,.contigs.fa,-1,-1,-1
1280.1675,.contigs.fa,-1,-1,-1
1280.1674,.contigs.fa,-1,-1,-1
1280.1673,.contigs.fa,-1,-1,-1
1280.1672,.contigs.fa,-1,-1,-1
1280.1671,.contigs.fa,-1,-1,-1
1280.1670,.contigs.fa,-1,-1,-1
1280.1669,.contigs.fa,-1,-1,-1
1280.1665,.contigs.fa,-1,-1,-1
1280.1664,.contigs.fa,-1,-1,-1
1280.1663,.contigs.fa,-1,-1,-1
1280.1662,.contigs.fa,-1,-1,-1
1280.1661,.contigs.fa,-1,-1,-1
1280.1660,.contigs.fa,-1,-1,-1
